Réseau Social,Class,Commentaire client,category,urgent
Linkedin,Messages positifs / remerciements," Plus de succès pour notre famille Algérie Télécom ainsi que pour notre PDG qui veille toujours pour la continuité ",positive,0
Linkedin,Messages positifs / remerciements," Enfin !!!....félicitations...certainement çela va déplaire le personnel du secteur des domaines.....bonne continuation. ",positive,0
Facebook,Messages positifs / remerciements,شكراً لكم، لقد تم حل المشكل لفضاء الزبون الخاص بحساب,positive,0
Facebook,Messages positifs / remerciements,شكرا لكم لحقني الميساج,positive,0
Facebook,Messages positifs / remerciements,"Barakallahou fikoum AT, je vous critique des fois mais je dois vous dire bravo pour ce geste.",positive,0
Linkedin,Messages positifs / remerciements,Félicitations ! Je vous souhaite beaucoup de succès,positive,0
Linkedin,Messages positifs / remerciements,"Bonne initiative,",positive,0
Linkedin,Messages positifs / remerciements,"Bravo a toutes et a tous, projet réussi ,honneur a l'ensemble des équipes d'AT notamment la Division et les Départements Corporate. Plus de réussites In Chaa El Lah....",positive,0
Linkedin,Messages positifs / remerciements,"Bien joué.  ",positive,0
Linkedin,Messages positifs / remerciements,Toutes mes felicitations,positive,0
Youtube,Messages positifs / remerciements," ديما ناجحين و يد و قلب واحد و شركة وحدة توحدنا ",positive,0
Facebook,Messages positifs / remerciements,المزيد من النجاحات و التقدم,positive,0
Facebook,Messages positifs / remerciements,Algérie Télécom - إتصالات الجزائر شكرا لكم على الرد,positive,0
Linkedin,Messages positifs / remerciements,Bravo ,positive,0
Linkedin,Messages positifs / remerciements,"Félicitations à Algérie Télécom pour son engagement continu à soutenir l'excellence et l'innovation en Algérie.......... C'est une fierté de voir une entreprise nationale jouer un rôle aussi important dans la valorisation de nos talents et de nos ",positive,0
Linkedin,Messages positifs / remerciements,Bonjour ,off-topic,0
Linkedin,Messages positifs / remerciements,Cela vaut la peine d’y assister !et très intéressant félicitations,positive,0
Facebook,Messages positifs / remerciements,ام اللغات لغة العلم,positive,0
Facebook,Messages positifs / remerciements,كلمات جميلة ..**اللغة العربية تعتبر من ادق اللغات تركيبا واعذبها بيانا ويكفيها فخرا ان نزل بها القران **..,positive,0
Facebook,Messages positifs / remerciements,اجتماع مذهل للحروف:عسل لسع  أربع كلمات من نفس الحروف تجتمع في موضوع واحد ما أجمل لغتي!,positive,0
Facebook,Messages positifs / remerciements,""" قُرْآنًا عَرَبِيًّا غَيْرَ ذِي عِوَجٍ""...",positive,0
Facebook,Messages positifs / remerciements,لغة القرآن,positive,0
Facebook,Messages positifs / remerciements,تحيا اللغة العربية,positive,0
Facebook,Messages positifs / remerciements,صاحبة الجلالة اللغة العربية,positive,0
Facebook,Messages positifs / remerciements,فلتحيا لغتنا لغة الضاد صاحبة الشأن والرقي العربية,positive,0
Facebook,Messages positifs / remerciements,نحتفي بلغة الضاد التي تعد من أعرق وأجمل اللغات في العالم، هي لغة القرآن الكريم، وجسر يربط بين حضارات الماضي والحاضر، تحمل في طياتها إرثًا ثقافيًا وأدبيًا غنيًا، وتجمع بين الأصالة والحداثة.,positive,0
Facebook,Messages positifs / remerciements,لغة القرآن هذا يكفي,positive,0
Facebook,Messages positifs / remerciements,殺,positive,0
Linkedin,Messages positifs / remerciements,ل تعلمون لماذا سميت بلغة الضاد ؟,positive,0
Linkedin,Messages positifs / remerciements,Tooop,positive,0
Linkedin,Messages positifs / remerciements,اللهم إنا نسألك علما نافعا ورزقا طيبا وعملا متقبلا.,off-topic,0
Facebook,Messages positifs / remerciements,"Chez Algérie Télécom, l'innovation ne s'arrête jamais ",positive,0
Facebook,Messages positifs / remerciements,إِنَّ الَّـذي مَلَأَ اللّـغاتِ مَحـاسِناً جَعَلَ الجَمالَ وَسَرَّهُ في الضّادِ.#اليوم_العالمي_للغة_العربية,positive,0
Facebook,Messages positifs / remerciements,"يكفي انها لغة اهل الجنة ",positive,0
Instagram,Messages positifs / remerciements,مشي من عوايدكم لكن عجبني الإجتهاد ,positive,0
Facebook,Messages positifs / remerciements,اتصالات الجزائر احسن شركة في من حيت التسير ومعاملة,positive,0
Linkedin,Messages positifs / remerciements,يسعدني أن أرى هذا التقدير للغة الضاد في يومها,positive,0
Linkedin,Messages positifs / remerciements,إنَّ هذا اليوم هو يوم يجب علينا جميعًا أن نحتفل به بهذه اللغة الغالية على قلوبنا، لغة الإسلام ولغة القرآن ولغة العبادات، فكل عام وجميع العرب وجميع المسلمين والناطقين باللغة العربية بألف خير من الله رب العالمين.,positive,0
Facebook,Messages positifs / remerciements,بالتوفيق لجميع الزملاء و الزميلات,positive,0
Facebook,Messages positifs / remerciements,مبادرة ممتازة ان يتم تكريم علماء الجزائر، بالتوفيق للجميع,positive,0
Facebook,Messages positifs / remerciements,العفو و بالتوفيق ,positive,0
Facebook,Messages positifs / remerciements,اول شركة افريقية تتصدر خدمات الانترنتوالي ماشي مامن هذاك شغلوا,positive,0
Linkedin,Messages positifs / remerciements,فرصة رائعة.... جميل جدا جدا بي التوفيق والنجاح ان شاء الله,positive,0
Linkedin,Messages positifs / remerciements,Bravos Algérie Télécome! Bonne continuation ,positive,0
Linkedin,Messages positifs / remerciements,Congratulations on... A Great Added Value to the Community,positive,0
Linkedin,Messages positifs / remerciements,شكرا لكم احسنتم عملاا,positive,0
Facebook,Messages positifs / remerciements,الاتصال الفعال مفتاح النجاح برافو اتصالات الجزائر,positive,0
Facebook,Messages positifs / remerciements,ماشاءالله ربي يعاونكم الا امام انشاءالله,positive,0
Facebook,Messages positifs / remerciements,عملكم الرائع يتحدث عن نفسه، شكرًا لكم على التفاني✌,positive,0
Facebook,Messages positifs / remerciements,Bon courage ,positive,0
Facebook,Messages positifs / remerciements, j'aime beaucoup ❤️,positive,0
Linkedin,Messages positifs / remerciements,"C'est grâce à cette école et à Algérie Télécom que j'ai pu approfondir mes compétences en matière de réseaux informatiques, ce qui m'aide énormément dans l'exécution des tâches quotidiennes de mon job. Félicitations et bonne continuation, en espérant que nos chemins se croisent de nouveau prochainement ",positive,0
Linkedin,Messages positifs / remerciements,Une belle initiative pour promouvoir la production nationale et l’innovation technologique. Hâte de découvrir le produit TwinBox et ce partenariat prometteur entre Algérie Télécom et Djezzy. Bon courage pour cet événement .,positive,0
Linkedin,Messages positifs / remerciements,Je salue les efforts d’Algérie Télécom pour participer à des événements tels que la Foire de la Production Algérienne. Ces initiatives renforcent la position de l’entreprise en tant que moteur essentiel du développement numérique et de l’innovation technologique dans le pays. Tous mes vœux de succès pour offrir des services toujours plus proches des citoyens algériens.,positive,0
Facebook,Messages positifs / remerciements,جعلتم من العمل في هذه الشركة رحلة ممتعة مليئة بالتحديات والإنجازات، وأثبتُّم أن القيادة الحقيقية لا تعني السيطرة، بل تعني القدرة على بناء فرق قوية تؤمن برؤية مشتركة وتعمل بروح واحدة✌,positive,0
Facebook,Messages positifs / remerciements,,positive,0
Facebook,Messages positifs / remerciements,انا اؤمن بقدراتكم و لا شك فيها ولكن نرجو منكم تلحقولنا فيبر في اقرب وقت ممكن وشكرا ونتمنى مزيد من تقدم لانو تكنولوجيا مثل زمن تتطور بسرعة,positive,1
Linkedin,Messages positifs / remerciements," Félicitations pour cette belle participation à la Foire de la Production Algérienne...... J'ai été particulièrement impressionné par la présentation des nouvelles offres de fibre optique. C'est une excellente nouvelle pour les clients d'Algérie ",positive,0
Facebook,Messages positifs / remerciements,شكراً إتصلات الجزائر نثمن مجهوداتكم❤️,positive,0
Facebook,Messages positifs / remerciements,جزيل الشكر والتقدير لكم,positive,0
Linkedin,Messages positifs / remerciements,"Une initiative remarquable d’Algérie Télécom pour soutenir le secteur de la santé et renforcer la digitalisation des services essentiels. Ce type d’engagement reflète un véritable dévouement à l’amélioration des infrastructures technologiques et au service de la communauté. Bravo et bonne continuation pour vos futures actions ",positive,0
Instagram,Messages positifs / remerciements,تزغارت ننتضر,negative,1
Instagram,Messages positifs / remerciements,إلى أن تصل لكل المناطق السكنية في وطننا الغالي بإذن الله ❤️,positive,0
Youtube,Messages positifs / remerciements," ربي يحفظها ويحميها اتصالات الجزائر ",positive,0
Facebook,Messages positifs / remerciements,هذيك الخدمة انقضتني والله يعطيكم صحه,positive,0
Linkedin,Messages positifs / remerciements,"Congratulations to our dear school , and more success for the future !",positive,0
Facebook,Messages positifs / remerciements,"جد فعالة يعطيكم العافية ",positive,0
Facebook,Messages positifs / remerciements,"شكراً إتصالات الجزائر نثمن مجهوداتكم ",positive,0
Facebook,Messages positifs / remerciements,والله تحمر الوجه الياف البصرية اول مرت نتمتع بي الانترنت روعة,positive,0
Facebook,Messages positifs / remerciements,باتوفيقنشكركم جزيل الشكر على دعمكم لنا الذي يحفزنا للارتقاء و مضاعفة المجهودات لضمان الاستمرارية و الجودة. دمتم اوفياء لاتصالات الجزائر,positive,0
Facebook,Messages positifs / remerciements,شكران لكم,positive,0
Facebook,Messages positifs / remerciements,Plus de succès Algérie Télécom,positive,0
Facebook,Messages positifs / remerciements,مبادرة حسنة المهم الخدمة تكون في المستوى,positive,0
Facebook,Messages positifs / remerciements,شكرا على الخدمة وان شاءالله المزيد,positive,0
Facebook,Messages positifs / remerciements,شكرآ على تقديمكم خدمة جد راقية ,positive,0
Facebook,Messages positifs / remerciements,اشكر انصالات الجزائر التي اتصلت بي مصلحة خدمة الزبائن بعد الشكوى المقدمة واشكر وكالة الرمشي بولاية الرمشي وكماةاتمنى ان تغيروا عمال وكالة الحناية ولاية تلمسان فقد مللنا منهم لا يبالون بالزبائن عكس وكالة الرمشي ونتمنى ان نرى عمال ومدير بالحناية مثل وكالة الرمشي,positive,0
Instagram,Messages positifs / remerciements,واخيرا,positive,0
